pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs,model_name,model_display,source_file,inertia_value,silhouette_value,min_cluster_size,cluster_size_ratio,fold_eligible
2,4,0.3720848844191078,1511.0099464208563,0.0,0.5362036496362029,0.0,39,39.0,66,66.0,1.6923076923076923,1.6923076923076923,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,1511.0099464208563,0.5362036496362029,39,1.6923076923076923,True
2,3,0.3720848844191078,2621.7855192716615,0.0,0.497783100971757,0.0,57,57.0,79,79.0,1.3859649122807018,1.3859649122807018,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,2621.7855192716615,0.497783100971757,57,1.3859649122807018,True
2,5,0.3720848844191078,1205.6819217753944,1.668052177622715,0.4693246517246233,0.0032019280836577,28,30.4,51,51.0,1.8214285714285712,1.680414746543779,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,1205.6819217753944,0.4693246517246233,28,1.8214285714285712,True
2,2,0.3720848844191078,4820.960988212767,0.0,0.4527942789961859,0.0,97,97.0,106,106.0,1.092783505154639,1.092783505154639,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,4820.960988212767,0.4527942789961859,97,1.092783505154639,True
2,6,0.3720848844191078,978.9990615505247,1.079296252676576,0.444589297746176,0.0101044372566373,20,24.0,49,47.2,2.45,2.0061481481481485,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,978.9990615505247,0.444589297746176,20,2.45,True
2,7,0.3720848844191078,798.8231398237027,2.7284401064248875,0.4281493488213819,0.0019208135150732,16,18.0,44,42.4,2.6875,2.3931232492997196,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,798.8231398237027,0.4281493488213819,16,2.6875,True
2,8,0.3720848844191078,665.0159953191297,0.6340716790101413,0.416779648928084,0.000227352033326,16,16.8,41,41.0,2.5625,2.4452614379084965,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,665.0159953191297,0.416779648928084,16,2.5625,True
3,4,0.4499883938857459,3309.678388318532,0.0,0.4068076531648811,0.0,36,36.0,66,66.0,1.8333333333333333,1.8333333333333333,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,3309.678388318532,0.4068076531648811,36,1.8333333333333333,True
2,9,0.3720848844191078,604.1817998869872,4.077687671763884,0.4041641443128707,0.0140110480765745,6,11.6,41,36.4,6.833333333333333,3.6041666666666665,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,604.1817998869872,0.4041641443128707,6,6.833333333333333,False
3,5,0.4499883938857459,2682.0500603892015,0.0,0.4018585623042393,0.0,27,27.0,63,63.0,2.3333333333333335,2.3333333333333335,5,vit_large_patch16_224,ViT Large Patch 16 224,results/phase2/tuning/phase2_all_results_vit_large_patch16_224_averaged.csv,2682.0500603892015,0.4018585623042393,27,2.3333333333333335,True
2,2,0.3734914590945556,283.50039420567225,0.0,0.5279402553186235,0.0,96,96.0,107,107.0,1.1145833333333333,1.1145833333333333,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,283.50039420567225,0.5279402553186235,96,1.1145833333333333,True
