experiment,model,fold,validation_selected_fold,series,epoch,loss
Experiment 1,DenseNet-121,1,False,validation,38,0.2673408543424947
Experiment 1,DenseNet-121,1,False,validation,39,0.248137472552203
Experiment 1,DenseNet-121,2,False,training,1,0.8522956122954687
Experiment 1,DenseNet-121,2,False,training,2,0.6638669293551218
Experiment 1,DenseNet-121,2,False,training,3,0.598253784435136
Experiment 1,DenseNet-121,2,False,training,4,0.5510891590799604
Experiment 1,DenseNet-121,2,False,training,5,0.47459700277873446
Experiment 1,DenseNet-121,2,False,training,6,0.4787647800431365
Experiment 1,DenseNet-121,2,False,training,7,0.45739505404517766
Experiment 1,DenseNet-121,2,False,training,8,0.40538381980288596
Experiment 1,DenseNet-121,2,False,training,9,0.38678467663980665
Experiment 1,DenseNet-121,2,False,training,10,0.3836797968972297
Experiment 1,DenseNet-121,2,False,training,11,0.34054392922137466
Experiment 1,DenseNet-121,2,False,training,12,0.34340627163293813
Experiment 1,DenseNet-121,2,False,training,13,0.30236845809434143
Experiment 1,DenseNet-121,2,False,training,14,0.3154500267867531
Experiment 1,DenseNet-121,2,False,training,15,0.28925993249175097
Experiment 1,DenseNet-121,2,False,training,16,0.26910562564929325
Experiment 1,DenseNet-121,2,False,training,17,0.29005993547893705
Experiment 1,DenseNet-121,2,False,training,18,0.2706176272282998
Experiment 1,DenseNet-121,2,False,training,19,0.25638084743349326
Experiment 1,DenseNet-121,2,False,training,20,0.24662890431604215
Experiment 1,DenseNet-121,2,False,training,21,0.23183434616242135
Experiment 1,DenseNet-121,2,False,training,22,0.21885911087017684
Experiment 1,DenseNet-121,2,False,training,23,0.2178547387898323
Experiment 1,DenseNet-121,2,False,training,24,0.22071058870781035
Experiment 1,DenseNet-121,2,False,training,25,0.21878937254881575
Experiment 1,DenseNet-121,2,False,training,26,0.21995265943752157
Experiment 1,DenseNet-121,2,False,training,27,0.22031128929839247
Experiment 1,DenseNet-121,2,False,training,28,0.18703424526999393
Experiment 1,DenseNet-121,2,False,training,29,0.22146136074193887
Experiment 1,DenseNet-121,2,False,training,30,0.19459567915293433
Experiment 1,DenseNet-121,2,False,training,31,0.19614895304576271
Experiment 1,DenseNet-121,2,False,training,32,0.16628141625828685
Experiment 1,DenseNet-121,2,False,training,33,0.15928229733946778
Experiment 1,DenseNet-121,2,False,training,34,0.1396746075756493
Experiment 1,DenseNet-121,2,False,training,35,0.12906216970822287
Experiment 1,DenseNet-121,2,False,training,36,0.1311793401837349
Experiment 1,DenseNet-121,2,False,training,37,0.134279343765229
Experiment 1,DenseNet-121,2,False,training,38,0.12931858153925055
Experiment 1,DenseNet-121,2,False,training,39,0.12234675309931238
Experiment 1,DenseNet-121,2,False,training,40,0.15243085389513344
Experiment 1,DenseNet-121,2,False,training,41,0.12325783077228282
Experiment 1,DenseNet-121,2,False,training,42,0.12233931174324382
Experiment 1,DenseNet-121,2,False,training,43,0.12288236773262422
Experiment 1,DenseNet-121,2,False,training,44,0.11386518901036609
Experiment 1,DenseNet-121,2,False,training,45,0.11239025852687302
Experiment 1,DenseNet-121,2,False,training,46,0.12866944992648705
Experiment 1,DenseNet-121,2,False,training,47,0.11309880925165046
Experiment 1,DenseNet-121,2,False,training,48,0.13205653850343965
Experiment 1,DenseNet-121,2,False,training,49,0.1215703852829479
Experiment 1,DenseNet-121,2,False,training,50,0.11847280061227225
Experiment 1,DenseNet-121,2,False,training,51,0.1092456033941181
Experiment 1,DenseNet-121,2,False,training,52,0.10517114168033004
Experiment 1,DenseNet-121,2,False,training,53,0.11010213696309143
Experiment 1,DenseNet-121,2,False,training,54,0.1291522579711108
Experiment 1,DenseNet-121,2,False,training,55,0.11048449686772767
Experiment 1,DenseNet-121,2,False,training,56,0.11764417349227838
Experiment 1,DenseNet-121,2,False,training,57,0.09412442500303898
Experiment 1,DenseNet-121,2,False,training,58,0.10723942289838478
